Filename,Filepath,IsCorrected,Title,Author,Source,IsInPublicDomain,Narrator,audio,time_start,time_end
adorf.txt,txt/adorf.txt,n,A dorf-tsadik,Sholem Ash,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/adorftsa.mp3,,
ashtetl.txt,txt/ashtetl.txt,n,A shtetl,Sholem Ash,https://archive.org/details/nybc209954,y,Perec Zylberberg,https://archive.org/compress/257SholemAschAShtetl.CD1Of4.ReadByPeretzZilberberg,,
ashtetl_disk1_normalised_respelled.txt,txt/for_training/ashtetl_disk1_normalised_respelled.txt,y,A shtetl,Sholem Ash,https://archive.org/details/nybc209954,y,Perec Zylberberg,https://ia801700.us.archive.org/3/items/257SholemAschAShtetl.CD1Of4.ReadByPeretzZilberbergYID/257%20Sholem%20Asch%2C%20%22A%20shtetl.%22%20CD%201%20of%204.%20Read%20by%20Peretz%20Zilberberg%20YID.mp3,142,4808
ashtetl_disk2_normalised_respelled.txt,txt/for_training/ashtetl_disk2_normalised_respelled.txt,y,A shtetl,Sholem Ash,https://archive.org/details/nybc209954,y,Perec Zylberberg,https://archive.org/download/257SholemAschAShtetl.CD1Of4.ReadByPeretzZilberbergYID/257%20Sholem%20Asch%2C%20%22A%20shtetl.%22%20CD%202%20of%204.%20Read%20by%20Peretz%20Zilberberg%20YID.mp3,99,4775
ashtiler.txt,txt/ashtiler.txt,n,A shtiler gortn,Sholem Ash,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Ashtiler.mp3,,
ateater.txt,txt/ateater.txt,n,A teater fun kaptsonim,Der Tunkeler,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/A_teater_fun_kaptsonim.mp3,,
ayzik.txt,txt/ayzik.txt,n,Ayzik-Meyer Dik,Itsik Manger,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/AMeirDik.mp3,,
baym.txt,txt/baym.txt,n,Baym dokter,Sholem-Aleykhem,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Baym_docter.mp3,,
baynakht.txt,txt/baynakht.txt,n,Bay nakht,Dovid Bergelson,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/BayNakht.mp3,,
bontshe.txt,txt/bontshe.txt,n,Bontshe Shvayg,Yitskhok-Leybush Perets,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Bontshes.mp3,,
derkhilef.txt,txt/derkhilef.txt,n,Der khilef,Mendele Moykher-Sforim,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Derkhile.mp3,,
deryid.txt,txt/deryid.txt,n,Der yid vos hot khorev gemakht dem templ,Avrom Reyzen,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/deryidwa.mp3,,
deryoyred.txt,txt/deryoyred.txt,n,Der yoyred,Ayzik-Meyer Dik,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/DerYoyred.mp3,,
derziveg.txt,txt/derziveg.txt,n,Der ziveg,Yitskhok-Leybush Perets,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Derziveg.mp3,,
dibrider.txt,txt/dibrider.txt,n,Di brider Ashkenazi,Yisroel Yehoyshue Zinger,https://archive.org/details/nybc207598,y,Perec Zylberberg,https://archive.org/compress/271IsraelJoshuaSingerDiBriderAshkenaziTheBrothersAshkenazi.CD1Of25.ReadByPeretzZilberbergYID,,
dilandonishe.txt,txt/dilandonishe.txt,n,Di lamdonishe beratungen,Der Tunkeler,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/di_landonishe_beratungen.mp3,,
dimayses.txt,txt/dimayses.txt,n,Di mayses fun hershl zumervint,Itsik Manger,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Hershl.mp3,,
dimentshn.txt,txt/dimentshn.txt,n,Di mentshn fun godlbozhets,Leyb Rashkin,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/di_mentshn_leyb_rashkin.mp3,,
dinodl.txt,txt/dinodl.txt,n,Di nodl,Yitskhok Bashevis,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Dinodl01.mp3,,
doktoyrim.txt,txt/doktoyrim.txt,n,Doktoyrim,Sholem-Aleykhem,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Doctoyrim.mp3,,
dreyfus.txt,txt/dreyfus.txt,n,Dreyfus in kasrilevke,Sholem-Aleykhem,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Dreyfusi.mp3,,
farvos.txt,txt/farvos.txt,n,Far vos di gendz hobn geshrign,Yitskhok Bashevis,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/far_vos_yitskhok_bashevis.mp3,,
getsi.txt,txt/getsi.txt,n,Getsi Gubernator,Sholem-Aleykhem,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/gatsi.mp3,,
khayim.txt,txt/khayim.txt,n,Khaim Lederers tsurikkumen,Sholem Ash,https://archive.org/details/nybc203645,n,Perec Zylberberg,https://archive.org/compress/sholem-asch-khayim-lederers-tsurikkumen-000,,
kidalto.txt,txt/kidalto.txt,n,Kidalto vekidashto,Sholem-Aleykhem,http://yiddish.haifa.ac.il/Stories.html,y,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Kidaltov.mp3,,
mark.txt,txt/mark.txt,n,Mark Markovitsh Varshavski,Itsik Manger,http://yiddish.haifa.ac.il/Stories.html,n,Sara Blacher-Retter,http://yiddish.haifa.ac.il/audio/audioStories/Markmark.mp3,,
motl.txt,txt/motl.txt,n,Motl Peysi dem khazns,Sholem-Aleykhem,https://archive.org/details/nybc202586/,y,Leib Rubinov,https://archive.org/compress/250SholemAleichemMotlPeysiDemKhaznsMotlTheCantorsSon.CD1Of9.ReadByLeibRubinovYID,,
motl_disk1_normalised_respelled.txt,txt/for_training/motl_disk1_normalised_respelled.txt,y,Motl Peysi dem khazns,Sholem-Aleykhem,https://archive.org/details/nybc202586/,y,Leib Rubinov,https://archive.org/download/250SholemAleichemMotlPeysiDemKhaznsMotlTheCantorsSon.CD1Of9.ReadByLeibRubinov/250%20Sholem%20Aleichem%2C%20%22Motl%20peysi%20dem%20khazns%20%28Motl%2C%20the%20Cantor%27s%20Son%29.%22%20CD%201%20of%209.%20Read%20by%20Leib%20Rubinov.mp3,134,4851
